partidos
13-06-2023 CA Tucuman 2 - 1 Godoy Cruz
16-04-2023 Gimnasia LP 0 - 2 Belgrano Cordoba
11-02-2023 Platense 1 - 1 CA Tucuman
20-05-2023 Argentinos Jrs 0 - 1 Boca Juniors
20-08-2023 Sarmiento Junin 2 - 0 Tigre
02-04-2023 Instituto Cordoba 0 - 3 Talleres Cord.
20-03-2023 Sarmiento Junin 0 - 2 River Plate
11-03-2023 San Lorenzo 4 - 0 Gimnasia LP
27-05-2023 Gimnasia LP 0 - 0 Sarmiento Junin
28-01-2023 Racing Club 0 - 0 Belgrano Cordoba
06-02-2023 CA Tucuman 0 - 2 Talleres Cord.
11-03-2023 Instituto Cordoba 1 - 1 CA Tucuman
14-07-2023 Godoy Cruz 2 - 2 Defensa y Justicia
06-03-2023 Tigre 0 - 1 Argentinos Jrs
02-04-2023 Colon 0 - 0 CA Tucuman
02-07-2023 Banfield 1 - 0 Argentinos Jrs
02-07-2023 CA Independiente 1 - 0 Huracan
12-04-2023 Banfield 0 - 3 Defensa y Justicia
28-05-2023 Defensa y Justicia 1 - 1 Racing Club
03-06-2023 Belgrano Cordoba 2 - 0 Velez Sarsfield
09-04-2023 CA Independiente 1 - 2 Estudiantes LP
13-04-2023 Estudiantes LP 0 - 0 CA Tucuman
03-06-2023 Rosario Central 4 - 1 Instituto Cordoba
17-02-2023 Gimnasia LP 2 - 0 Instituto Cordoba
20-02-2023 Sarmiento Junin 0 - 1 San Lorenzo
11-02-2023 Colon 0 - 2 Sarmiento Junin
13-02-2023 Instituto Cordoba 0 - 0 Huracan
01-04-2023 Barracas Central 0 - 3 Boca Juniors
19-05-2023 Godoy Cruz 2 - 0 Gimnasia LP
19-03-2023 CA Tucuman 1 - 1 Barracas Central
04-03-2023 Lanus 0 - 2 River Plate
07-03-2023 Boca Juniors 0 - 0 Defensa y Justicia
12-04-2023 Racing Club 0 - 1 Newells
09-07-2023 Platense 1 - 0 Sarmiento Junin
21-05-2023 Colon 1 - 1 Barracas Central
16-04-2023 Newells 0 - 1 River Plate
05-03-2023 CA Independiente 2 - 2 Instituto Cordoba
06-03-2023 Godoy Cruz 2 - 0 Racing Club
25-07-2023 Colon 1 - 3 Tigre
07-05-2023 River Plate 1 - 0 Boca Juniors
12-07-2023 CA Tucuman 2 - 0 Gimnasia LP
13-04-2023 Colon 2 - 2 Talleres Cord.
27-05-2023 CA Tucuman 1 - 0 Arsenal de Sarandi
01-07-2023 CA Tucuman 1 - 0 Union Santa Fe
02-07-2023 Colon 0 - 4 Racing Club
04-02-2023 Arsenal de Sarandi 1 - 1 Estudiantes LP
